"cntry","ppltrst","pplfair","pplhlp","trstprl","trstplc","netusoft","vote","polintr"
"AT",5,5,5,6,10,5,1,1
"AT",10,0,1,6,4,5,1,2
"AT",6,9,8,7,8,5,1,2
"AT",6,6,6,5,9,1,2,3
"AT",6,3,8,6,8,5,1,2
"AT",8,8,4,3,7,5,1,2
"AT",7,7,8,6,8,1,1,2
"AT",8,8,8,9,9,5,1,1
"AT",7,8,7,6,8,5,1,3
"AT",3,4,3,8,10,1,1,2
"AT",5,5,6,6,8,5,1,1
"AT",5,7,7,6,9,5,2,2
"AT",6,7,6,6,4,5,1,3
"AT",3,5,5,3,7,1,2,2
"AT",8,8,9,7,9,2,1,3
"AT",3,8,9,2,7,5,1,1
"AT",8,8,8,7,9,5,1,1
"AT",4,5,5,2,5,3,1,2
"AT",2,2,2,4,6,5,1,4
"AT",4,5,6,5,5,4,3,2
"AT",5,7,7,7,8,2,1,1
"AT",5,7,6,4,6,5,1,2
"AT",5,5,5,4,5,5,2,3
"AT",4,6,4,3,2,5,2,1
"AT",7,7,7,5,8,5,1,2
"AT",10,9,7,0,7,5,1,1
"AT",8,7,7,5,8,5,1,3
"AT",5,3,6,2,8,5,1,2
"AT",7,9,7,5,7,5,2,4
"AT",4,4,4,2,3,5,1,3
"AT",5,7,6,0,6,5,2,3
"AT",8,10,8,5,9,5,1,2
"AT",6,6,6,8,7,1,1,2
"AT",8,9,7,5,7,5,1,3
"AT",10,9,9,4,8,5,1,1
"AT",10,10,10,8,8,5,2,4
"AT",7,7,7,8,9,5,3,3
"AT",8,8,9,5,7,5,1,3
"AT",7,8,5,7,7,3,1,1
"AT",2,3,3,4,8,3,1,2
"AT",7,5,4,0,8,5,1,2
"AT",5,8,6,3,NA,1,1,2
"AT",7,7,7,2,3,5,2,4
"AT",7,8,7,9,9,5,1,2
"AT",7,8,8,8,8,5,3,2
"AT",5,4,4,5,7,1,1,2
"AT",7,7,7,5,7,4,1,3
"AT",6,3,5,4,7,5,1,3
"AT",7,8,8,6,7,4,1,2
"AT",5,5,4,4,4,2,1,4
"AT",7,7,5,8,10,3,1,2
"AT",7,8,7,7,8,5,1,1
"AT",7,3,7,6,6,5,3,4
"AT",6,7,6,3,5,5,1,3
"AT",1,9,5,NA,7,2,1,3
"AT",6,3,3,5,8,5,2,4
"AT",8,7,8,9,10,1,1,2
"AT",5,5,5,10,10,2,1,2
"AT",6,5,5,7,8,5,3,2
"AT",3,8,8,4,4,5,1,2
"AT",6,7,8,6,7,5,1,2
"AT",2,9,1,2,7,5,1,1
"AT",5,6,6,4,6,5,1,2
"AT",6,4,3,5,8,5,2,3
"AT",4,4,9,7,9,1,1,3
"AT",8,9,10,9,10,5,1,2
"AT",8,7,7,5,8,5,1,2
"AT",9,7,7,5,8,5,1,1
"AT",7,8,8,8,7,5,1,2
"AT",3,4,3,7,5,1,1,1
"AT",8,8,7,5,8,5,2,3
"AT",9,9,9,2,0,5,2,2
"AT",7,7,7,4,9,4,1,2
"AT",8,8,8,6,10,4,1,3
"AT",6,7,7,7,8,5,1,1
"AT",8,7,7,5,9,1,1,2
"AT",7,8,7,7,8,5,1,3
"AT",7,7,8,4,7,5,1,2
"AT",4,5,4,3,5,5,2,4
